,title,rank,cluster,genre,year,foreign,language,country
1,BlacKkKlansman,83.0,1,"['Biography', 'Drama', 'Comedy', 'Crime']",2018,0,['English'],['US']
4,Roma,96.0,4,['Drama'],2018,0,"['English', 'German', 'French', 'Spanish', 'Japanese', 'Norwegian', 'nai']","['US', 'MX']"
0,Capernaum,75.0,0,['Drama'],2018,1,"['Arabic', 'Amharic']","['US', 'FR', 'LB']"
3,Never Look Away,68.0,3,"['Drama', 'History', 'Thriller', 'Romance']",2018,1,"['German', 'Russian']","['DE', 'IT']"
2,Shoplifters,93.0,2,"['Drama', 'Crime']",2018,1,['Japanese'],['JP']
3,A Star Is Born,88.0,3,"['Drama', 'Romance', 'Music', 'Musical']",2018,0,['English'],"['USA', 'US']"
2,Bohemian Rhapsody,49.0,2,"['Biography', 'Drama', 'Music']",2018,0,['English'],"['USA', 'UK', 'GB', 'US']"
3,Green Book,69.0,3,"['Biography', 'Drama', 'History', 'Comedy', 'Music']",2018,0,"['English', 'German', 'Russian', 'Italian']",['US']
4,Black Panther,88.0,4,"['Action', 'Adventure', 'Sci-Fi', 'Drama']",2018,0,"['English', 'Korean', 'Swahili', 'Xhosa', 'qba']","['USA', 'US']"
4,The Irishman,94.0,4,"['Biography', 'Drama', 'History', 'Thriller', 'Crime']",2019,0,"['English', 'German', 'Spanish', 'Italian', 'Latin']",['US']
0,Joker,59.0,0,"['Action', 'Adventure', 'Drama', 'Thriller', 'Fantasy', 'Crime']",2019,0,['English'],"['US', 'CA']"
1,1917,78.0,1,"['Drama', 'War']",2019,0,"['English', 'German', 'French']","['GB', 'US', 'IN', 'CA', 'ES']"
4,Parasite,96.0,4,"['Drama', 'Thriller', 'Comedy']",2019,0,"['English', 'Korean']",['KR']
2,Corpus Christi,77.0,2,['Drama'],2019,1,['Polish'],['PL']
2,Honeyland,86.0,2,"['Drama', 'Documentary']",2019,1,['Turkish'],['MK']
0,Pain and Glory,87.0,0,['Drama'],2019,1,['Spanish'],"['FR', 'ES']"
2,Marriage Story,94.0,2,"['Drama', 'Comedy', 'Romance']",2019,0,['English'],"['GB', 'US']"
0,Little Women,91.0,0,"['Drama', 'Romance']",2019,0,"['English', 'French']",['US']
4,Jojo Rabbit,58.0,4,"['Drama', 'Comedy', 'War']",2019,0,"['English', 'German']","['DE', 'US', 'NZ', 'CZ']"
1,Ford v Ferrari,81.0,1,"['Action', 'Biography', 'Drama', 'Sport']",2019,0,"['English', 'French', 'Italian', 'Japanese']","['US', 'FR']"
