name,year,competition_category,winner,url,summary,countries,languages,genre,metascore
The Thin Red Line,1998,DIRECTING,FALSE,https://www.metacritic.com/movie/the-thin-red-line/details,"The Thin Red Line tells the story of a group of men, an Army Rifle company called C-for-Charlie, who change, suffer and ultimately make essential discoveries about themselves during the fierce World War II battle of Guadalcanal.  (Fox)",['USA'],"['English', 'Japanese', 'Greek', 'Tok Pisin']","['Action', 'Drama', 'War']",78
The Truman Show,1998,DIRECTING,FALSE,https://www.metacritic.com/movie/the-truman-show/details,"Twenty-nine years ago, a baby boy was adopted by the OmniCam Corporation to become the subject of the most popular television show of all time. His name is Truman Burbank.  (Paramount Pictures)",['USA'],['English'],['Drama'],90
Central Station,1998,FOREIGN LANGUAGE FILM,FALSE,https://www.metacritic.com/movie/central-station/details,"A young boy's (Oliveira) mother is killed in front of Rio de Janeiro's Central Station. Homeless and with nowhere to turn, he is reluctantly befriended by a lonely and cynical woman (Montenegro). Resisting her initial impulse to make a quick profit off the child, she commits to returning him to his father in Brazil's remote Northeast.  The trip becomes a quest for their own identities: one boy's search for his father, and one woman's search for her heart. (Sony Pictures Classics)","['Brazil', 'France']","['German', 'Portuguese']",['Drama'],80
The Grandfather,1998,FOREIGN LANGUAGE FILM,FALSE,https://www.metacritic.com/movie/the-grandfather/details,"Set at the turn of the century, The Grandfather tells the story of love, friendship, honor and betrayal within one powerful Spanish family spanning three generations.  (Miramax Films)",['Spain'],['Spanish'],['Drama'],57
American Beauty,1999,DIRECTING,TRUE,https://www.metacritic.com/movie/american-beauty/details,"Provoked by forbidden passions, Lester Burnham (Spacey) decides to make a few changes in his rut of a life, changes that are less midlife crisis than adolescence reborn. The freer he gets, the happier he gets, which is even more maddening to his wife, Carolyn (Bening), and daughter Jane (Birch) --especially when he turns his lustful gaze toward Jane's friend, the sultry Angela (Suvari).  (Dreamworks SKG)",['USA'],['English'],['Drama'],84
Being John Malkovich,1999,DIRECTING,FALSE,https://www.metacritic.com/movie/being-john-malkovich/details,An out-of-work puppeteer takes a filing clerk job on the cramped 7 ½ floor of an office building where he discovers a hidden tunnel allowing him to enter the mind and life of actor John Malkovich for 15 mintues before being ejected onto the New Jersey Turnpike.,['USA'],['English'],"['Drama', 'Fantasy', 'Comedy', 'Romance']",90
The Cider House Rules,1999,DIRECTING,FALSE,https://www.metacritic.com/movie/the-cider-house-rules/details,"This is the story of a compassionate young man (Maguire), raised in an orphanage and trained to be a doctor by the abortionist (Caine) who runs the orphanage.                                                  ",['USA'],['English'],"['Drama', 'Romance']",75
The Insider,1999,DIRECTING,FALSE,https://www.metacritic.com/movie/the-insider/details,"This is the true story of Jeffrey Wigand (Crowe), the tobacco executive-turned-whistleblower and his relationship with ""60 Minutes"" producer Lowell Bergman (Pacino).",['USA'],"['English', 'Arabic', 'Japanese']","['Biography', 'Drama', 'Thriller']",84
The Sixth Sense,1999,DIRECTING,FALSE,https://www.metacritic.com/movie/the-sixth-sense/details,"In this chilling, psychological thriller, 8-year-old Cole Sear (Osment) is haunted by a dark secret: he is visited by ghosts. Confused by his paranormal powers, Cole is too young to understand his purpose and too afraid to tell anyone about his anguish, except child psychologist Dr. Malcolm Crowe (Willis). As Dr. Crowe tries to uncover the ominous truth about Cole's supernatural abilities, the consequences for client and therapist are a jolt that awakens them both to something harrowing...and unexplainable. (Hollywood Pictures)",['USA'],"['English', 'Spanish', 'Latin']","['Drama', 'Mystery', 'Thriller']",64
All About My Mother,1999,FOREIGN LANGUAGE FILM,TRUE,https://www.metacritic.com/movie/all-about-my-mother/details,This is the story of a mother (Roth) recovering from the death of her teenage son.  She travels to Barcelona to find her son's father and  revisits many places of her youth. ,"['Spain', 'France']","['English', 'Spanish', 'Catalan']",['Drama'],87
The Green Mile,1999,BEST PICTURE,FALSE,https://www.metacritic.com/movie/the-green-mile/details,"Set on Death Row in a Southern prison in 1935, this is the remarkable story of a prison guard who develops a poignant, unusual relationship with one inmate who possesses a magical gift that is both mysterious and miraculous.  (Castle Rock Entertainment)",['USA'],"['English', 'French']","['Drama', 'Mystery', 'Fantasy', 'Crime']",61
Billy Elliot,2000,DIRECTING,FALSE,https://www.metacritic.com/movie/billy-elliot/details,"The life of 11-year old Billy Elliot (Bell), a coal miner's son in Northern England, is forever changed one day when he stumbles upon a ballet class during his weekly boxing lesson.  (Universal Focus)","['UK', 'France']",['English'],"['Drama', 'Comedy', 'Music']",74
